138.68.110.254 - - [29/Aug/2023:00:45:18 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [29/Aug/2023:23:30:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:31:10 +0900] "GET /web/board/write.html HTTP/1.1" 200 3862
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:31:10 +0900] "GET /web/board/static/css/bootstrap.min.css HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:31:10 +0900] "GET /web/board/static/css/headers.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:31:10 +0900] "GET /web/board/board.js?v=2 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:31:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:32:05 +0900] "GET /web/board/write.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:32:05 +0900] "GET /web/board/static/css/headers.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:32:05 +0900] "GET /web/board/static/css/bootstrap.min.css HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:32:12 +0900] "GET /web/board/write.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:32:12 +0900] "GET /web/board/static/css/bootstrap.min.css HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:32:12 +0900] "GET /web/board/static/css/headers.css HTTP/1.1" 404 855
127.0.0.1 - - [29/Aug/2023:23:33:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:14 +0900] "GET /web/board/write.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:14 +0900] "GET /web/board/static/css/headers.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:14 +0900] "GET /web/board/static/css/bootstrap.min.css HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/write.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/static/css/headers.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/static/css/bootstrap.min.css HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/write.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/static/css/headers.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/static/css/bootstrap.min.css HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/write.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/static/css/bootstrap.min.css HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/static/css/headers.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Aug/2023:23:33:16 +0900] "GET /web/board/write.html HTTP/1.1" 304 -
