127.0.0.1 - - [28/Aug/2023:22:38:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:38:58 +0900] "GET /web_example/signup.html HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:38:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:39:09 +0900] "GET /web_example/shop/signup.html HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:39:09 +0900] "GET /web_example/shop/join.css HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:39:09 +0900] "GET /web_example/shop/img/bg.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:42:26 +0900] "GET /web_example/shop/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:42:26 +0900] "GET /web_example/shop/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:42:26 +0900] "GET /web_example/shop/img/bg.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:42:27 +0900] "GET /web_example/shop/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:22:42:32 +0900] "GET /web_example/shop/signup.html HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [28/Aug/2023:23:04:27 +0900] "GET /web_example/shop/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:23:04:27 +0900] "GET /web_example/shop/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:23:06:09 +0900] "GET /web_example/shop/join.html HTTP/1.1" 200 2626
0:0:0:0:0:0:0:1 - - [28/Aug/2023:23:06:09 +0900] "GET /web_example/shop/join.js HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [28/Aug/2023:23:07:03 +0900] "GET /web_example/shop/join.html HTTP/1.1" 200 2625
